index_code,date,open,close,low,high,volume,money,change,label
300,2006/1/4,926.56,941.43,926.41,941.43,21126899,11442608327,1.947,959.13
300,2006/1/5,943.85,959.13,942.31,959.62,27311743,14693493720,1.8801,970.03
300,2006/1/6,961.91,970.03,956.04,975.63,30286368,16170989866,1.1364,975.25
300,2006/1/9,971.09,975.25,966.05,976.27,24329552,12626400277,0.5381,978.15
300,2006/1/10,975.28,978.15,964.43,978.28,22735302,12344022953,0.2974,973.48
300,2006/1/11,977.64,973.48,963.39,983.39,26524138,13488346780,-0.4774,983.72
300,2006/1/12,972.39,983.72,968.54,984.08,21896680,11028175836,1.0519,978.81
300,2006/1/13,985.04,978.81,973.68,988.11,22281861,11215633222,-0.4991,961.44
300,2006/1/16,977.89,961.44,960.88,977.89,20305215,9896151721,-1.7746,964.29
300,2006/1/17,959.4,964.29,952.23,965.98,16037276,8076118846,0.2964,983.62
300,2006/1/18,964.16,983.62,963.08,984.67,20823518,10389841771,2.0046,991.22
300,2006/1/19,985.23,991.22,978.28,992.27,26455609,12714862349,0.7727,993.34
300,2006/1/20,991.57,993.34,987.06,994.5,26147062,12929890431,0.2139,996.16
300,2006/1/23,993.74,996.16,989.34,997.33,22546019,11459294356,0.2839,999.09
300,2006/1/24,997.79,999.09,993.39,1006.15,24197991,13914239772,0.2941,1009.6
300,2006/1/25,998.83,1009.6,989.51,1009.65,21800758,11644197379,1.052,1033.23
300,2006/2/6,1013.42,1033.23,1012.81,1033.35,25038771,13466978183,2.3405,1029.94
300,2006/2/7,1034.68,1029.94,1019.94,1038.5,32954787,17669257813,-0.3184,1033.07
300,2006/2/8,1028.44,1033.07,1022.94,1033.4,26986729,13692515175,0.3039,1019.6
300,2006/2/9,1033.19,1019.6,1017.05,1033.19,23839601,12115067169,-1.3039,1032.34
300,2006/2/10,1019.42,1032.34,1018.48,1032.6,22024453,11411753871,1.2495,1031.61
300,2006/2/13,1034.38,1031.61,1021.84,1034.64,22157298,11454695538,-0.0707,1038.53
300,2006/2/14,1032.65,1038.53,1030.46,1038.81,18556220,9730559347,0.6708,1041.66
300,2006/2/15,1040.33,1041.66,1038.74,1048.34,24784628,12747811508,0.3014,1020.12
300,2006/2/16,1041.67,1020.12,1019.21,1041.67,26159892,13407183725,-2.0679,1020.37
300,2006/2/17,1020.06,1020.37,1015.99,1028.57,21026875,10774127956,0.0245,1021.64
300,2006/2/20,1020.74,1021.64,1020.02,1030.05,18818883,10303300141,0.1245,1038.82
300,2006/2/21,1020.98,1038.82,1014.66,1038.94,23678039,13180216400,1.6816,1037.89
300,2006/2/22,1039.65,1037.89,1036.38,1046.45,25380704,13435059019,-0.0895,1041.37
300,2006/2/23,1038.25,1041.37,1029.25,1041.59,19785037,10259755542,0.3353,1049.44
300,2006/2/24,1041.97,1049.44,1041.97,1049.69,19676104,10286380796,0.7749,1047.84
300,2006/2/27,1055.95,1047.84,1045.97,1057.22,22872099,12520438962,-0.1525,1053.01
300,2006/2/28,1046.71,1053.01,1033.66,1053.72,19353267,10427830678,0.4934,1056.62
300,2006/3/1,1051.76,1056.62,1049.64,1057.69,19425730,10518419421,0.3428,1038.67
300,2006/3/2,1055.86,1038.67,1034.68,1056.05,24877861,13748692907,-1.6988,1041.68
300,2006/3/3,1037.99,1041.68,1029.56,1043.42,21200539,11437141697,0.2898,1038.87
300,2006/3/6,1041.66,1038.87,1036.11,1044.42,17870963,9091203924,-0.2698,1014.97
300,2006/3/7,1037.93,1014.97,1013.14,1037.98,19336516,9676508800,-2.3006,1009.27
300,2006/3/8,1012.58,1009.27,999.93,1014.97,17463055,8818082801,-0.5616,1004.34
300,2006/3/9,1006.97,1004.34,1002.2,1010.91,12735099,6640051345,-0.4885,1008.9
300,2006/3/10,1004.75,1008.9,1004.69,1011.76,11887983,6337829115,0.454,1019.86
300,2006/3/13,1008.8,1019.86,1008.51,1020.88,11765911,6101943506,1.0863,1018.27
300,2006/3/14,1020.47,1018.27,1012.11,1021.65,11348030,5861599356,-0.1559,1028.96
300,2006/3/15,1018.15,1028.96,1017.08,1028.96,14842068,7822300458,1.0498,1027.62
300,2006/3/16,1028.96,1027.62,1025.52,1029.81,14784339,7936360041,-0.1302,1024.02
300,2006/3/17,1027.64,1024.02,1021.08,1029.56,15001924,7945174864,-0.3503,1037.66
300,2006/3/20,1024.5,1037.66,1019.65,1037.91,15389912,8246315688,1.332,1040.76
300,2006/3/21,1037.95,1040.76,1036.23,1047.05,19077662,10271579935,0.2987,1047.67
300,2006/3/22,1041.14,1047.67,1036.71,1047.94,18640575,10034541922,0.6639,1048.54
300,2006/3/23,1047.35,1048.54,1042.82,1049.32,20467885,10825049824,0.083,1042.6
300,2006/3/24,1049.12,1042.6,1041.23,1051.76,20098237,11031900342,-0.5665,1050.71
